维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_pwd_succ_cnt_90d,double,密码登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_pwd_succ_cnt_180d,double,密码登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_sms_succ_cnt_1d,double,短信登录次数-近1天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_sms_succ_cnt_7d,double,短信登录次数-近7天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_sms_succ_cnt_15d,double,短信登录次数-近15天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_sms_succ_cnt_30d,double,短信登录次数-近30天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_sms_succ_cnt_90d,double,短信登录次数-近90天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_sms_succ_cnt_180d,double,短信登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_pla_succ_cnt_180d,double,免密登录次数-近180天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_0to8_succ_cnt_1d,double,0-8点成功登录次数-近1天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_0to8_succ_cnt_7d,double,0-8点成功登录次数-近7天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
动支行为/授信行为,idn_bvr_log_0to8_succ_cnt_15d,double,0-8点成功登录次数-近15天,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
