维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_28_cnt_30d,double,近30天催记联系电话类型为同事的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_28_cnt_90d,double,近90天催记联系电话类型为同事的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_28_cnt_180d,double,近180天催记联系电话类型为同事的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_28_cnt_all,double,历史全量催记联系电话类型为同事的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_other_cnt_1d,double,近1天催记联系电话类型为其他的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_other_cnt_7d,double,近7天催记联系电话类型为其他的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_other_cnt_15d,double,近15天催记联系电话类型为其他的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_other_cnt_30d,double,近30天催记联系电话类型为其他的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_other_cnt_90d,double,近90天催记联系电话类型为其他的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_other_cnt_180d,double,近180天催记联系电话类型为其他的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_mob_type_other_cnt_all,double,历史全量催记联系电话类型为其他的个数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_off_cnt_1d,double,近1天催记结果为关机的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_off_cnt_7d,double,近7天催记结果为关机的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_off_cnt_15d,double,近15天催记结果为关机的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_off_cnt_30d,double,近30天催记结果为关机的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_off_cnt_90d,double,近90天催记结果为关机的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_off_cnt_180d,double,近180天催记结果为关机的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_off_cnt_all,double,历史全量催记结果为关机的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_noas_cnt_1d,double,近1天催记结果为无人接听的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_noas_cnt_7d,double,近7天催记结果为无人接听的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_noas_cnt_15d,double,近15天催记结果为无人接听的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_noas_cnt_30d,double,近30天催记结果为无人接听的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_noas_cnt_90d,double,近90天催记结果为无人接听的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_noas_cnt_180d,double,近180天催记结果为无人接听的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_noas_cnt_all,double,历史全量催记结果为无人接听的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_busy_cnt_1d,double,近1天催记结果为拒接的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_busy_cnt_7d,double,近7天催记结果为拒接的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
催记行为,col_rec_busy_cnt_15d,double,近15天催记结果为拒接的次数,1,2025-04,2025-07-26数据库变更，不建议使用，等待重构,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
