维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_730d,double,决策点前最近1次CBI历史记录中，查询日期前730天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_rupiahcepat_cnt_1095d,double,决策点前最近1次CBI历史记录中，查询日期前1095天rupiahcepat的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt,double,决策点前最近1次CBI历史记录中danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt_30d,double,决策点前最近1次CBI历史记录中，查询日期前30天danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt_60d,double,决策点前最近1次CBI历史记录中，查询日期前60天danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt_90d,double,决策点前最近1次CBI历史记录中，查询日期前90天danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt_180d,double,决策点前最近1次CBI历史记录中，查询日期前180天danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt_365d,double,决策点前最近1次CBI历史记录中，查询日期前365天danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt_730d,double,决策点前最近1次CBI历史记录中，查询日期前730天danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_danarupiah_cnt_1095d,double,决策点前最近1次CBI历史记录中，查询日期前1095天danarupiah的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt,double,决策点前最近1次CBI历史记录中cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt_30d,double,决策点前最近1次CBI历史记录中，查询日期前30天cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt_60d,double,决策点前最近1次CBI历史记录中，查询日期前60天cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt_90d,double,决策点前最近1次CBI历史记录中，查询日期前90天cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt_180d,double,决策点前最近1次CBI历史记录中，查询日期前180天cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt_365d,double,决策点前最近1次CBI历史记录中，查询日期前365天cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt_730d,double,决策点前最近1次CBI历史记录中，查询日期前730天cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_cairin_cnt_1095d,double,决策点前最近1次CBI历史记录中，查询日期前1095天cairin的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adapundi_cnt,double,决策点前最近1次CBI历史记录中adapundi的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adapundi_cnt_30d,double,决策点前最近1次CBI历史记录中，查询日期前30天adapundi的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adapundi_cnt_60d,double,决策点前最近1次CBI历史记录中，查询日期前60天adapundi的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adapundi_cnt_90d,double,决策点前最近1次CBI历史记录中，查询日期前90天adapundi的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adapundi_cnt_180d,double,决策点前最近1次CBI历史记录中，查询日期前180天adapundi的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBI同业,cbi_ind_hist_adapundi_cnt_365d,double,决策点前最近1次CBI历史记录中，查询日期前365天adapundi的记录总数,1,2025-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
