维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_60d,double,最近60天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_60d,double,最近60天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_list_90d,double,最近90天使用wifimac数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_wifi_mac_set_90d,double,最近90天使用wifimac去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list,double,最近1年使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set,double,最近1年使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_1d,double,最近1天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_1d,double,最近1天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_7d,double,最近7天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_7d,double,最近7天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_14d,double,最近14天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_14d,double,最近14天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_30d,double,最近30天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_30d,double,最近30天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_60d,double,最近60天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_60d,double,最近60天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_list_90d,double,最近90天使用GPS数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_gps_set_90d,double,最近90天使用GPS去重数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt,double,最近1年通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt_1d,double,最近1天通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt_7d,double,最近7天通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt_14d,double,最近14天通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt_30d,double,最近30天通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt_60d,double,最近60天通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_cnt_90d,double,最近90天通过设备ID关联用户的授信去重次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_succ_cnt,double,最近1年通过设备ID关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_succ_cnt_1d,double,最近1天通过设备ID关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_succ_cnt_7d,double,最近7天通过设备ID关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_succ_cnt_14d,double,最近14天通过设备ID关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_succ_cnt_30d,double,最近30天通过设备ID关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_succ_cnt_60d,double,最近60天通过设备ID关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_succ_cnt_90d,double,最近90天通过设备ID关联用户的授信去重成功次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_failed_cnt,double,最近1年通过设备ID关联用户的授信去重失败次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_failed_cnt_1d,double,最近1天通过设备ID关联用户的授信去重失败次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_failed_cnt_7d,double,最近7天通过设备ID关联用户的授信去重失败次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_failed_cnt_14d,double,最近14天通过设备ID关联用户的授信去重失败次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_failed_cnt_30d,double,最近30天通过设备ID关联用户的授信去重失败次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反欺诈离线,idn_frd_device_id_case_failed_cnt_60d,double,最近60天通过设备ID关联用户的授信去重失败次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
