维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_advance_cnt_ratio,double,过去30天提前还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_norm_cnt_ratio,double,过去30天正常还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p30d_odue_cnt_ratio,double,过去30天逾期还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_tot_cnt,double,过去90天总还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_advance_cnt,double,过去90天提前还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_norm_cnt,double,过去90天正常还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_odue_cnt,double,过去90天逾期还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_advance_cnt_ratio,double,过去90天提前还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_norm_cnt_ratio,double,过去90天正常还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p90d_odue_cnt_ratio,double,过去90天逾期还款占比,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_tot_cnt,double,过去180天总还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_advance_cnt,double,过去180天提前还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还款行为,bill_repay_p180d_norm_cnt,double,过去180天正常还款次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
