维度细分,变量名,数值类型,解释,是否上线,上线时间,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_b_pcnt_21d,double,过去21天内类型B涉及的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_dcnt_21d,double,过去21天内涉及的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a_dcnt_21d,double,过去21天内类型A涉及的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a1_dcnt_21d,double,过去21天内A1平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a2_dcnt_21d,double,过去21天内A2平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a3_dcnt_21d,double,过去21天内A3平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a4_dcnt_21d,double,过去21天内A4平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_b_dcnt_21d,double,过去21天内类型B涉及的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_30d,double,过去30天内的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a_cnt_30d,double,过去30天内类型A的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a1_cnt_30d,double,过去30天内A1平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a2_cnt_30d,double,过去30天内A2平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a3_cnt_30d,double,过去30天内A3平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a4_cnt_30d,double,过去30天内A4平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_b_cnt_30d,double,过去30天内类型B的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_pcnt_30d,double,过去30天内涉及的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a_pcnt_30d,double,过去30天内类型A查询的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a1_pcnt_30d,double,过去30天内A1平台的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a2_pcnt_30d,double,过去30天内A2平台的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a3_pcnt_30d,double,过去30天内A3平台的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a4_pcnt_30d,double,过去30天内A4平台的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_b_pcnt_30d,double,过去30天内类型B涉及的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_dcnt_30d,double,过去30天内涉及的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a_dcnt_30d,double,过去30天内类型A涉及的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a1_dcnt_30d,double,过去30天内A1平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a2_dcnt_30d,double,过去30天内A2平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a3_dcnt_30d,double,过去30天内A3平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a4_dcnt_30d,double,过去30天内A4平台的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_b_dcnt_30d,double,过去30天内类型B涉及的不同日期数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_cnt_60d,double,过去60天内的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a_cnt_60d,double,过去60天内类型A的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a1_cnt_60d,double,过去60天内A1平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a2_cnt_60d,double,过去60天内A2平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a3_cnt_60d,double,过去60天内A3平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_a4_cnt_60d,double,过去60天内A4平台总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_b_cnt_60d,double,过去60天内类型B的总查询次数,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izi多头,idn_izi_id_inq_pcnt_60d,double,过去60天内涉及的不同平台数量,1,2025-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
